row_idx,label,caption,source_url,local_path,sha256
147,authentic,There is no evidence of any manipulation in this image.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/147/image/image.jpg?Expires=1772789147&Signature=Y0yXIkklEQk8oDvBkAHQ-A1Ev31UoHF8WfeJlvUTFZN9dJp4LOmcQHzgEy9UOfyIhhA8DwXC81MXFtYB0umSbHoZXr4Ag7krUa0NodNk01S5pz9K59MNisDub9Prnl3aXKIXikeaBIT8QpV1PKYvPkKUWrNW7K8EQhNgpuKoAxanFbz0sy2zqBcDhQjyMx1zc1SZF4JIcSWY4T2m-n~gi73U-0y7hhTD9-a1-c7QRhC2pqKpuBmrCM2T1r9n8VGtJMc2kbZfIn2iO3TD8L1aBStTeotuVH9CMp28w9Yd1tnvIA78SspFceZCuGGJoLXmYCdozAwPcRIo8smJ26Qzrw__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\authentic\authentic_01_row147.jpg,d79cb513d09908499091c507c1cc9ffbe74af2fe1904e4a48b94b965534f1304
145,authentic,The image seems to be an original and unedited photograph.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/145/image/image.jpg?Expires=1772789147&Signature=evpSjSnsWNlHvAQlnTxo4pz8Ws6NS784TN4k0Q3PjsqYZ9MTn7DAKMurXL8egDJcit-9iQCgZrWbam8yq0astTxRn7ONHHWC5iypg6cZHPmSe-CyB7tvaNLOrVmZvi~xPCsacwzx1DES0~TjVV-jx4hOUE8jpi~-bUv3lBU~LLJWxjnfW~QHAVVFFKwALdCWygHBu~YzOHZf8zw1ppo6qtkGWtDpJH7Wjhh9~5Cae6Op9d6HNzV7ARhFc9Rs-hLmbIoM7As1dE02aDWzPtzCbLRtZfNlXT8LDBqcU73eRzFRqg-lezB-t~zm4ngjjxEphO~1FIQ~3ia9qJhvF0Gghg__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\authentic\authentic_02_row145.jpg,9c9a96a22686923aa43cc9ac6de2cac31fafd34ef73688940d0e94543473e92c
92,forged,No signs of tampering are detected in this image.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/92/image/image.jpg?Expires=1772789145&Signature=LolBEB1JUIDeTzKAYCid813FhicQfi3~KQW4PZtyrAQw-R5MXR2lSWHxxvCw2TOZ09og1uDYtqIRv2xnIbOkX2eyrqW3sg8yIOA7EZ-XEDHKp9k-tnny2M82TJvNqDX~5Q1uWd~CtLj1kVuqI~~O7K45~yLPh0ztaPIr1fnitWCkrFFwEkmHSuMN0Z4wxLl9hIYjnFo58D6kGxXrlXH5t4Vu5BfyFLujPb0G1LTlUfbc3DrI~EsmHeyAA0Up2zzpyu0KAOqZOIlSmMmJQk4f-HHkCihQfDtIz0bZmpaD5RfoV60onFIcorGMJs2hqGziv8e1FwMl4Bg9WVL0CQcCtQ__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\forged\forged_01_row92.jpg,db59ae3b62ea57f5e82a41957806a532bde1643808bc73d5a404abb8ac0036a6
17,authentic,No signs of digital manipulation are visible in this image.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/17/image/image.jpg?Expires=1772789144&Signature=DO~kjK5GRu5djPTepOzfGr444YwTkhXv9HY1qRd3hZGG~3o5WRVD4DrVjH7~buR-4Vf3JgQb4euX6ytPOpPpq8-O2beuVKCvs0Ai5zdiaCwHl6GeK0pjgzXZMD7F~QG~I3W-rp-ULRdUMFRa-8~DE2PNfjPxAKIDMbPxuqDmRysXcTMPdk6nbUiALVoahCMrCK4Yvv1cNcF~b8Jas0xvMnARkTJdrTMvOtJUu-hr0vqhxlsUD1Kq0Dl3gKqCgSSAuQbI~aJajvIR7v4pxUlstiJipsVOJ6dlZPSHYrM~x6dJP7Ao-hz9-ZiH~fgJIp-lAz4hwQ57Efk81Njgwl9MIQ__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\authentic\authentic_03_row17.jpg,8b37992365467fa3ba313d949263ef41b94abf6d8a91312937232b365d486cb6
37,forged,"This clearly shows that a fish with a tail was improperly integrated, revealing tampering.",https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/37/image/image.jpg?Expires=1772789145&Signature=AP5oUVlrP1jsRTl7BDkySDXn3xSimmvh9-eQdoLxgE3AIRrJjDlYl4AzWb5tbN0k~~k6W-XYdlAR96VG6aEVf5shGmj-ZdSoWCct7zLulmgELWkitPsYpwv~viuCwbzzEH3EYDUJr4poS8oYp1GeHso4lBlXPrE-loW97WHydNT0crqGibn3XwdYVlLiPHBRuY4przdiksUP962Q9UJ0TwckBc6LGPiMkjEcRTonzFWriJWWe4NMKzZpZIfRjDIh2hV3YJ9QILDhbo~XrfgfYCSd50ZsNUYaB8QDy4q5bAfbWjZ3jVVSy~X8yTT23djlEY1v2tGlSNcGYLZL5ANXxg__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\forged\forged_02_row37.jpg,21c9f34d532263ddd22b6d4f700ec90fdc99cd0b739839aac87617146cb3d809
1,forged,"This picture is a fake, as, indicating that a picture of a bottle of liquid was artificially inserted.",https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/1/image/image.jpg?Expires=1772789144&Signature=py2Rf8AdE2eNTLzVdWRO9aaq0y48d0AMQ5K4Ircrm-MXvkojXDDFpkR7FuaZuqpEqp41gB-fMDQltPbE3U3EYmv6CpT0m8Wk-iXQDoWie-is2rlTCXiSYULF7gyUp6C3aqY8pXn4KhD050AYsyLRKUhLHw2GvlGjM-G8V8UCePM80jH6eAVNyhWhRISlZ2VWCi8rmlP9WomCeO7FWDBjPUjEbLKa6AFOIbSluNzquglixLpBjWndwuuBwcCH-Kc4FhS7PdZUbhzgMY1DvykGonF9glpzT4dNknFFPJzFAhGnXuehHxKFd3YHYkRqQneTNdzH6gyDzOD1vsopiE62qQ__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\forged\forged_03_row1.jpg,bb11227784d6d6fadb7c7888949aefc60ebb94bedcafe71d6868ab5a2d70b3d2
4,authentic,The image seems to be an original and unedited photograph.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/4/image/image.jpg?Expires=1772789145&Signature=RHXudYkvrligdOk0Uc~z9l79sAyVToHueqf0uO1L~JWIxBc9jvpoVGTCl2YvfMyzmHRH4Tc-gI2NpzMkDjVPDwviAWnVal78ClrfFYyHPdIb0SDcRVyHqQT5nyrEi0tMNlot48SaUueqwgUXyuc669ZVTnsn~xZg5dcbbZOW9pdp9VkEuzBKdVdQjA45uh9Ccn~38yU4iG1nvYoBsH1I2af1cujsuUrDdoUE6aJi6L0nwPgcmw8LWhTMVviHubTFaD9RZHGp3RlrlFao03CA5iwMPiULBTJmwJcSKNPZOFxnWUfbpIdxUD0pitrwb7ZB8kCVjNXC07rJiPVctpVDYA__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\authentic\authentic_04_row4.jpg,556fb01581dfdba29ab55a731ec76ecb001c5bea7af670472ef76b79967f2d18
54,forged,This clearly shows that a child sitting on the floor was inserted post-capture.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/54/image/image.jpg?Expires=1772789145&Signature=xiny2h3kHwyKhEFsrPD9UBFJKs~UO512WAnOlSttFLVVUTYaIR86tz2CdIYv2RKMKP00mMpeGwVdv~5Bduo~NcWkLA8nA3c4VdfQovsSJoMtavsFHaNAU2l5adv7CJvaWovhTpz0r8n1HsD-Rtz60t1njsMaeYM1V~zhksvPlBy9XAWtb2pth7VcQTBETsSW6mNnwQwr4VCzluS3rBZD2F-fZwK-cM3A7o~coyX1WIx9mRqTz5QhKJuIH3a5Cpv9-ahokgX-BJ-2x7Vlq3UWMnYgJMh4zSyDqN4wTFAolOtEhqcNwGiKc-BfvdsLx6PkWK9DlrA8DE46RVyAMf8wIA__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\forged\forged_04_row54.jpg,688c6d2ad094860e2f2126eb74d7f8bb1e90fc0e81c7decfc237c7cd392019dd
31,authentic,No signs of digital manipulation are visible in this image.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/31/image/image.jpg?Expires=1772789144&Signature=cfborqqHV7FguJzgu32TTA7qi4ra4VVatFj0Y0T5j3hpjrjf2di7L43-1M44WizxXb0ABmROg0ofwGPJVEIc8ZKdEwuND0poa64N8iXIMIy9Gu7lihCrCiMBtxp0gTj5w~eDzTK~tM-0OM3uMtJqQKWJanqn0JIam9qS9qhGm8eqDqxuu89HB2HBy3VIkXt6ZAkPWDS2gKJ4kyVDD2tCjNJRqHRYGDbUmJFy37H~EMsaGNXIShG49i1WEV7dckk5jXD9Z9VSkZ5hT8cp6Cu48ltDogyn4llfUaNoi1s9NDQvqrNQrI8pfNcQzsI5VNeIMFENSk98l3ueiGqST7OXSA__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\authentic\authentic_05_row31.jpg,2a0f35d791c3bbd09ef476b99659b1131184759e52b2c19a3f085949097fdae2
72,forged,Careful inspection reveals that a monkey sitting on a branch was spliced into the image.,https://datasets-server.huggingface.co/cached-assets/lorenzo-morelli/image-splicing-deepfake-mix/--/a071f3badf3b54c39b0ffa63d28ba35842515657/--/default/train/72/image/image.jpg?Expires=1772789145&Signature=tYLEn1AeC0CqLWYjqV5IalDe6VpBg6OqJbDo17QLuHiJ-NMYjmJnW41aUH2PG7s2UrD6C~fGL1IuKuGIz5D4gyrqnk-Myr4yfiHwTxaVRYK0UquR2U3PNRVpOQFRp0yQwR7En8TG6WIQm-KfkK--XGUKDwVusOYRr9cEVo-6puWb7Gfgqx~rT~CIGxfRl~clhzMe6siu5NWcIEuaC7YPhnKdsci-vLSqpdQcLqy6uDE4Hi14QmSFFabbpji3gMzhsigJT~TflJ9iOzMaQJRqscoBkPPzfoorHXvjoWjtmYsaKPVq2RPatKw34-ypXSvsV5AKT78y2gckwgxl~yEZWQ__&Key-Pair-Id=K3EI6M078Z3AC3,E:\Freelance\Research\D11_9_2025_Image_fixed_Detect\Project\T07FakeMediaDetect\sample_sets\external_hf_splicing_mix_100\forged\forged_05_row72.jpg,de54d7c0e8085ba14c7279798991c9d663317a97212aea8adce8c813fec5a77d
